+-----------------------+---------+--------+--------+--------+----------+-----------+
| name                  | # param | loss   | KLD    | JSD    | AIC      | BIC       |
+-----------------------+---------+--------+--------+--------+----------+-----------+
| BradleyTerry          |     129 | 0.6554 |    inf | 0.0724 | 256.6892 | 1049.7267 |
| BradleyTerryScaled    |     258 | 0.6552 |    inf | 0.0722 | 514.6896 | 2100.7646 |
| BradleyTerryScaledR   |     259 | 0.6552 |    inf | 0.0722 | 516.6896 | 2108.9122 |
| RaoKupper             |     130 | 1.0095 | 0.0332 | 0.0092 | 257.9810 | 1057.1661 |
| RaoKupperScaled       |     259 | 1.0092 | 0.0323 | 0.0090 | 515.9815 | 2108.2042 |
| RaoKupperScaledR      |     260 | 1.0092 | 0.0323 | 0.0090 | 517.9816 | 2116.3518 |
| Davidson              |     130 | 1.0100 | 0.0341 | 0.0094 | 257.9800 | 1057.1651 |
| DavidsonScaled        |     259 | 1.0098 | 0.0332 | 0.0092 | 515.9805 | 2108.2031 |
| DavidsonScaledR       |     260 | 1.0098 | 0.0332 | 0.0092 | 517.9805 | 2116.3507 |
+-----------------------+---------+--------+--------+--------+----------+-----------+
